Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id
Philippines,90,5.073,0.7053,1.0352,0.5811,0.6254,0.2499,0.1228,2015,608
Philippines,82,5.279,0.8122,0.8788,0.4704,0.5485,0.2167,0.1176,2016,608
Philippines,72,5.43,0.8577,1.2539,0.468,0.5852,0.1935,0.0993,2017,608
Hungary,53,6.0004,10.2492,0.9219,67.61,0.719,-0.1943,0.8929,2020,348
Hungary,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,348
Hungary,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018,348
Hungary,104,4.8,1.1209,1.2022,0.759,0.3211,0.128,0.0276,2015,348
Hungary,91,5.145,1.2414,0.9316,0.6761,0.1977,0.099,0.0447,2016,348
Hungary,75,5.324,1.286,1.3431,0.6878,0.1759,0.0784,0.0366,2017,348
Thailand,54,5.9988,9.7418,0.89,67.2506,0.9051,0.2687,0.8863,2020,764
Thailand,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019,764
Thailand,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018,764
Thailand,34,6.455,0.9669,1.265,0.7385,0.5566,0.5763,0.0319,2015,764
Thailand,33,6.474,1.0893,1.0448,0.6492,0.4955,0.587,0.0283,2016,764
Thailand,32,6.424,1.1279,1.4258,0.6472,0.5802,0.5721,0.0316,2017,764
Argentina,55,5.9747,9.811,0.9006,68.8038,0.8311,-0.1949,0.842,2020,32
Argentina,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,32
Argentina,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018,32
Argentina,30,6.574,1.0535,1.2482,0.7872,0.4497,0.1145,0.0848,2015,32
Argentina,26,6.65,1.1514,1.0661,0.6971,0.4228,0.1099,0.073,2016,32
Argentina,24,6.599,1.1853,1.4405,0.6951,0.4945,0.1095,0.0597,2017,32
Honduras,56,5.9532,8.4245,0.8219,67.1988,0.8706,0.087,0.8011,2020,340
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019,340
Honduras,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018,340
Honduras,105,4.788,0.5953,0.9535,0.6951,0.4015,0.2303,0.0682,2015,340
Honduras,104,4.871,0.6943,0.756,0.5838,0.2676,0.2044,0.0691,2016,340
Honduras,91,5.181,0.7306,1.1439,0.5826,0.3481,0.2362,0.0733,2017,340
Latvia,57,5.95,10.1753,0.9183,66.8075,0.6712,-0.1869,0.7956,2020,428
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,428
Latvia,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018,428
Latvia,89,5.098,1.1131,1.0956,0.7244,0.2967,0.1823,0.0633,2015,428
Latvia,68,5.56,1.2179,0.9502,0.6395,0.28,0.1744,0.0889,2016,428
Latvia,54,5.85,1.2607,1.4047,0.6386,0.3257,0.1531,0.0738,2017,428
Ecuador,58,5.9252,9.2461,0.8364,68.5,0.8598,-0.127,0.8012,2020,218
Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019,218
Ecuador,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018,218
Ecuador,48,5.975,0.864,0.999,0.7907,0.4857,0.1154,0.1809,2015,218
Ecuador,51,5.976,0.9731,0.8597,0.6861,0.4027,0.1007,0.1804,2016,218
Ecuador,44,6.008,1.0008,1.2862,0.6856,0.4552,0.1501,0.1401,2017,218
Portugal,59,5.9109,10.2637,0.8866,72.402,0.8887,-0.2207,0.8926,2020,620
Portugal,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019,620
Portugal,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018,620
Portugal,88,5.102,1.1599,1.1394,0.8752,0.5147,0.1372,0.0108,2015,620
Portugal,94,5.123,1.2761,0.9437,0.7936,0.4473,0.1169,0.0152,2016,620
Portugal,89,5.195,1.3152,1.367,0.7958,0.4985,0.0951,0.0159,2017,620
Jamaica,60,5.8898,9.0063,0.9157,67.1,0.8581,-0.1251,0.8889,2020,388
Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019,388
Jamaica,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018,388
Jamaica,65,5.709,0.8104,1.151,0.6874,0.5044,0.2123,0.023,2015,388
Jamaica,73,5.51,0.8933,0.9637,0.5947,0.436,0.2224,0.0429,2016,388
Jamaica,76,5.311,0.9256,1.3682,0.641,0.4743,0.2338,0.0553,2017,388
South Korea,61,5.8724,10.5106,0.7994,73.6027,0.613,-0.0434,0.7891,2020,410
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019,410
South Korea,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018,410
South Korea,47,5.984,1.2446,0.9577,0.9654,0.3321,0.1856,0.0786,2015,410
South Korea,57,5.835,1.3595,0.7219,0.8864,0.2517,0.1882,0.0772,2016,410
South Korea,55,5.838,1.4017,1.1283,0.9002,0.2579,0.2067,0.0633,2017,410
Japan,62,5.8708,10.5797,0.8835,75.001,0.81,-0.2469,0.6546,2020,392
Japan,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,392
Japan,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018,392
Japan,46,5.987,1.2707,1.2571,0.9911,0.4962,0.107,0.1806,2015,392
Japan,53,5.921,1.3801,1.0605,0.9149,0.4676,0.1022,0.1898,2016,392
Japan,51,5.92,1.4169,1.4363,0.9135,0.5056,0.1206,0.1638,2017,392
Peru,63,5.7968,9.4563,0.8311,68.1002,0.8248,-0.1624,0.8937,2020,604
Peru,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,604
Peru,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018,604
Peru,58,5.824,0.9002,0.9746,0.7302,0.415,0.1498,0.0599,2015,604
Peru,64,5.743,0.996,0.8126,0.6299,0.375,0.1453,0.0529,2016,604
Peru,63,5.715,1.0352,1.2188,0.6302,0.45,0.1268,0.047,2017,604
Serbia,64,5.7782,9.681,0.8815,68.2102,0.7265,-0.0737,0.8435,2020,688
Serbia,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,688
Serbia,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018,688
Serbia,87,5.123,0.9205,1.0096,0.7484,0.2011,0.1923,0.0262,2015,688
Serbia,86,5.177,1.0344,0.8133,0.6458,0.1572,0.2074,0.0434,2016,688
Serbia,73,5.395,1.0693,1.2582,0.6508,0.2087,0.2201,0.0409,2017,688
Bolivia,65,5.7475,8.8511,0.8031,63.6005,0.8759,-0.0917,0.8226,2020,68
Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,68
Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018,68
Bolivia,51,5.89,0.6813,0.9784,0.5392,0.5741,0.2054,0.088,2015,68
Bolivia,59,5.822,0.7942,0.8378,0.4697,0.5096,0.217,0.0775,2016,68
Bolivia,58,5.823,0.8338,1.2276,0.4736,0.5587,0.2256,0.0605,2017,68
Pakistan,66,5.6933,8.4827,0.6891,58.2531,0.7348,0.0449,0.7457,2020,586
Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,586
Pakistan,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2018,586
Pakistan,81,5.194,0.5954,0.4141,0.5147,0.121,0.3367,0.1046,2015,586
Pakistan,92,5.132,0.6882,0.2614,0.4031,0.1462,0.3118,0.1388,2016,586
Pakistan,80,5.269,0.7269,0.6727,0.402,0.2352,0.3154,0.1243,2017,586
Paraguay,67,5.6921,9.39,0.8987,65.6399,0.8859,0.008,0.8348,2020,600
Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,600
Paraguay,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018,600
Paraguay,53,5.878,0.7598,1.3048,0.661,0.539,0.3424,0.0824,2015,600
Paraguay,70,5.538,0.8937,1.1111,0.583,0.4624,0.253,0.074,2016,600
Paraguay,70,5.493,0.9325,1.5073,0.5793,0.4735,0.2242,0.0911,2017,600
Dominican Republic,68,5.6892,9.6649,0.8821,65.8075,0.8662,-0.1313,0.756,2020,214
Dominican Republic,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,214
Dominican Republic,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018,214
Dominican Republic,98,4.885,0.8954,1.172,0.6682,0.5767,0.2168,0.1423,2015,214
Dominican Republic,89,5.155,1.0279,0.995,0.5767,0.5226,0.2129,0.1237,2016,214
Dominican Republic,86,5.23,1.0794,1.4024,0.5749,0.5526,0.187,0.1139,2017,214
Bosnia and Herzegovina,69,5.6741,9.4558,0.8292,67.8081,0.6514,0.0983,0.9338,2020,70
Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,70
Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.216,0.0,2018,70
Bosnia and Herzegovina,96,4.949,0.8322,0.9192,0.7908,0.0924,0.2481,0.0023,2015,70
Bosnia and Herzegovina,87,5.163,0.9338,0.6437,0.7077,0.0951,0.2989,0.0,2016,70
Bosnia and Herzegovina,90,5.182,0.9824,1.0693,0.7052,0.2044,0.3289,0.0,2017,70
Moldova,70,5.6075,8.7767,0.8433,65.013,0.7216,-0.0377,0.9133,2020,498
Moldova,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019,498
Moldova,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2018,498
Moldova,52,5.889,0.5945,1.0153,0.6183,0.3282,0.2095,0.0162,2015,498
Moldova,55,5.897,0.6918,0.8313,0.5231,0.252,0.2,0.019,2016,498
Moldova,56,5.838,0.7289,1.2518,0.5895,0.2407,0.2088,0.0101,2017,498
Tajikistan,71,5.5557,8.0248,0.8353,64.1046,0.8314,-0.0251,0.5921,2020,762
Tajikistan,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,762
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018,762
Tajikistan,106,4.786,0.3905,0.8556,0.5738,0.4722,0.2297,0.1507,2015,762
Tajikistan,100,4.996,0.4884,0.756,0.5312,0.4341,0.26,0.1351,2016,762
Tajikistan,96,5.041,0.5247,1.2715,0.5292,0.4716,0.249,0.1464,2017,762
Montenegro,72,5.5461,9.7519,0.8553,68.5053,0.6496,-0.0756,0.7831,2020,499
Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,499
Montenegro,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018,499
Montenegro,82,5.192,0.9744,0.9056,0.7252,0.1826,0.1614,0.143,2015,499
Montenegro,88,5.161,1.0784,0.7417,0.6353,0.1511,0.1719,0.1272,2016,499
Montenegro,83,5.237,1.1211,1.2384,0.6675,0.195,0.1979,0.0882,2017,499
Russia,73,5.546,10.1289,0.9032,64.1005,0.7299,-0.1512,0.8648,2020,643
Russia,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019,643
Russia,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018,643
Russia,64,5.716,1.1376,1.2362,0.6693,0.3668,0.002,0.03,2015,643
Russia,56,5.856,1.2323,1.0526,0.5899,0.3268,0.0274,0.0359,2016,643
Russia,49,5.963,1.2818,1.4693,0.5473,0.3738,0.0523,0.033,2017,643
Kyrgyzstan,74,5.5415,8.1484,0.8872,64.106,0.9094,0.1548,0.8884,2020,417
Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019,417
Kyrgyzstan,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018,417
Kyrgyzstan,77,5.286,0.4743,1.1511,0.6509,0.4348,0.3003,0.0423,2015,417
Kyrgyzstan,85,5.185,0.5604,0.9543,0.5545,0.4021,0.3843,0.0476,2016,417
Kyrgyzstan,98,5.004,0.5962,1.3942,0.5535,0.4549,0.4286,0.0394,2017,417
Belarus,75,5.5399,9.7799,0.9067,66.1043,0.6392,-0.1649,0.6357,2020,112
Belarus,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,112
Belarus,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018,112
Belarus,59,5.813,1.0319,1.2329,0.7361,0.3794,0.1105,0.1909,2015,112
Belarus,61,5.802,1.1306,1.0499,0.631,0.2909,0.1394,0.1746,2016,112
Belarus,67,5.569,1.1566,1.4449,0.6377,0.2954,0.1551,0.1563,2017,112
Greece,77,5.515,10.1323,0.8144,72.4053,0.5413,-0.3009,0.8599,2020,300
Greece,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2019,300
Greece,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2018,300
Greece,102,4.857,1.1541,0.9293,0.8821,0.077,0.0,0.014,2015,300
Greece,99,5.033,1.2489,0.7547,0.8003,0.0582,0.0,0.0413,2016,300
Greece,87,5.227,1.2895,1.2394,0.8102,0.0957,0.0,0.0433,2017,300
Hong Kong,78,5.5104,10.9347,0.846,76.7717,0.7798,0.135,0.4206,2020,344
Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019,344
Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018,344
Hong Kong,72,5.474,1.386,1.0582,1.0133,0.5961,0.3948,0.3712,2015,344
Hong Kong,75,5.458,1.5107,0.8702,0.9528,0.4808,0.401,0.3165,2016,344
Hong Kong,71,5.472,1.5517,1.2628,0.9431,0.491,0.3745,0.2939,2017,344
Croatia,79,5.5047,10.0709,0.8746,70.2149,0.7148,-0.1285,0.9165,2020,191
Croatia,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,191
Croatia,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018,191
Croatia,62,5.759,1.0825,0.7962,0.788,0.2588,0.0544,0.0243,2015,191
Croatia,74,5.488,1.1865,0.6081,0.7052,0.2391,0.1843,0.04,2016,191
Croatia,77,5.293,1.2226,0.968,0.7013,0.2558,0.248,0.0431,2017,191
Libya,80,5.4888,9.7898,0.8259,62.3,0.7732,-0.0851,0.6688,2020,434
Libya,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,434
Libya,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018,434
Libya,63,5.754,1.1314,1.1186,0.7038,0.4167,0.183,0.1102,2015,434
Libya,67,5.615,1.0669,0.9508,0.523,0.4067,0.1709,0.1034,2016,434
Libya,68,5.525,1.1018,1.3576,0.5202,0.4657,0.1521,0.0926,2017,434
Mongolia,81,5.4562,9.4122,0.9371,62.3045,0.6934,0.0981,0.8635,2020,496
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,496
Mongolia,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018,496
Mongolia,100,4.874,0.8282,1.3006,0.6027,0.4363,0.3323,0.0267,2015,496
Mongolia,101,4.907,0.9885,1.0898,0.5547,0.3597,0.3454,0.0328,2016,496
Mongolia,100,4.955,1.0272,1.493,0.5578,0.3941,0.3385,0.0329,2017,496
Malaysia,82,5.3843,10.2625,0.8165,67.1022,0.8946,0.1147,0.8393,2020,458
Malaysia,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,458
Malaysia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018,458
Malaysia,61,5.77,1.1249,1.0702,0.7239,0.5302,0.3308,0.105,2015,458
Malaysia,47,6.005,1.2514,0.8802,0.6237,0.3903,0.4147,0.0908,2016,458
Malaysia,42,6.084,1.2912,1.2846,0.6188,0.4023,0.4166,0.0656,2017,458
Vietnam,83,5.3535,8.8095,0.85,67.9527,0.9396,-0.0945,0.7964,2020,704
Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019,704
Vietnam,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079,2018,704
Vietnam,75,5.36,0.6322,0.9123,0.7468,0.5944,0.1686,0.1044,2015,704
Vietnam,96,5.061,0.7404,0.7912,0.6616,0.5595,0.2507,0.1156,2016,704
Vietnam,94,5.074,0.7885,1.2775,0.6522,0.5711,0.235,0.0876,2017,704
Indonesia,84,5.2856,9.3698,0.8084,62.1558,0.8706,0.5196,0.8763,2020,360
Indonesia,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,360
Indonesia,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,2018,360
Indonesia,74,5.399,0.8283,1.0871,0.6379,0.4661,0.5154,0.0,2015,360
Indonesia,79,5.314,0.951,0.8762,0.4937,0.3924,0.5652,0.0032,2016,360
Indonesia,81,5.262,0.9955,1.2744,0.4923,0.4433,0.6117,0.0153,2017,360
Ivory Coast,85,5.2333,8.2256,0.658,49.5038,0.7279,-0.044,0.7908,2020,384
Ivory Coast,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019,384
Ivory Coast,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018,384
Ivory Coast,151,3.655,0.4653,0.7712,0.1519,0.4687,0.2016,0.1792,2015,384
Ivory Coast,139,3.916,0.5551,0.5758,0.0448,0.4066,0.2034,0.1553,2016,384
Ivory Coast,128,4.18,0.603,0.9048,0.0486,0.4477,0.2012,0.1301,2017,384
Benin,86,5.216,7.6743,0.4687,54.3125,0.7352,-0.0035,0.7405,2020,204
Benin,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,204
Benin,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2018,204
Benin,155,3.34,0.2866,0.3539,0.3191,0.4845,0.1826,0.0801,2015,204
Benin,153,3.484,0.395,0.1042,0.2103,0.3975,0.2018,0.0668,2016,204
Benin,143,3.657,0.4311,0.4353,0.2099,0.426,0.2079,0.0609,2017,204
Maldives,87,5.1976,9.5186,0.9132,70.6,0.854,0.0381,0.8242,2020,462
Congo (Brazzaville),88,5.1944,8.537,0.6402,57.9245,0.7191,-0.1237,0.7518,2020,180
Congo (Brazzaville),103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019,180
Congo (Brazzaville),114,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018,180
Congo (Brazzaville),139,3.989,0.6787,0.6629,0.3105,0.4147,0.1239,0.1169,2015,180
Congo (Brazzaville),127,4.236,0.7711,0.478,0.2821,0.3794,0.1208,0.0975,2016,180
Congo (Brazzaville),124,4.291,0.809,0.832,0.29,0.435,0.1209,0.0796,2017,180
Azerbaijan,89,5.1648,9.6877,0.8193,65.5084,0.7868,-0.2403,0.5525,2020,31
Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,31
Azerbaijan,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018,31
Azerbaijan,80,5.212,1.0239,0.9379,0.6404,0.3703,0.078,0.1606,2015,31
Azerbaijan,81,5.291,1.1237,0.7604,0.545,0.3533,0.0564,0.1791,2016,31
Azerbaijan,85,5.234,1.1536,1.1524,0.5408,0.3982,0.0453,0.181,2017,31
North Macedonia,90,5.1598,9.5106,0.8204,67.5044,0.7388,-0.0199,0.8975,2020,807
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019,807
North Macedonia,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2018,807
North Macedonia,93,5.007,0.9185,1.0023,0.7355,0.3346,0.2236,0.0533,2015,807
North Macedonia,95,5.121,1.0193,0.7824,0.6474,0.2767,0.2351,0.0705,2016,807
North Macedonia,92,5.175,1.0646,1.2079,0.6449,0.3259,0.2538,0.0603,2017,807
Ghana,91,5.148,8.3506,0.7286,57.204,0.7948,0.0942,0.848,2020,288
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,288
Ghana,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018,288
Ghana,114,4.633,0.5456,0.6795,0.4013,0.4234,0.2309,0.0436,2015,288
Ghana,124,4.276,0.6311,0.4935,0.2968,0.4097,0.212,0.0326,2016,288
Ghana,131,4.12,0.6672,0.8737,0.2956,0.423,0.2569,0.0253,2017,288
Nepal,92,5.1372,7.9254,0.7855,63.7792,0.7976,0.1542,0.7381,2020,524
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,524
Nepal,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018,524
Nepal,121,4.514,0.36,0.8645,0.5687,0.3828,0.323,0.0591,2015,524
Nepal,107,4.793,0.4463,0.697,0.5007,0.3701,0.3816,0.0701,2016,524
Nepal,99,4.962,0.4798,1.1793,0.5041,0.4403,0.3941,0.073,2017,524
Turkey,93,5.1318,10.1294,0.8263,66.9028,0.6088,-0.171,0.7482,2020,792
Turkey,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019,792
Turkey,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109,2018,792
Turkey,76,5.332,1.061,0.9463,0.7317,0.2282,0.1225,0.1575,2015,792
Turkey,78,5.389,1.1649,0.8772,0.6472,0.2389,0.0471,0.1235,2016,792
Turkey,69,5.5,1.1983,1.3378,0.6376,0.3007,0.0467,0.0997,2017,792
China,94,5.1239,9.6886,0.7988,69.2892,0.8985,-0.1814,0.754,2020,156
China,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,156
China,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018,156
China,84,5.14,0.8901,0.9468,0.8166,0.517,0.0819,0.0278,2015,156
China,83,5.245,1.0278,0.7938,0.7356,0.4401,0.0496,0.0274,2016,156
China,79,5.273,1.0812,1.1608,0.7414,0.4728,0.0288,0.0228,2017,156
Turkmenistan,95,5.1191,9.748,0.959,62.2117,0.8265,0.1877,0.8837,2020,795
Turkmenistan,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019,795
Turkmenistan,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018,795
Turkmenistan,70,5.548,0.9585,1.2267,0.5389,0.4761,0.1698,0.3084,2015,795
Turkmenistan,65,5.658,1.0802,1.0382,0.4401,0.3741,0.2257,0.2847,2016,795
Turkmenistan,59,5.822,1.1308,1.4931,0.4377,0.4183,0.2499,0.2593,2017,795
Bulgaria,96,5.1015,9.8693,0.9378,66.804,0.7452,-0.1439,0.9356,2020,100
Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,100
Bulgaria,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018,100
Bulgaria,134,4.218,1.0122,1.1061,0.7665,0.3059,0.1192,0.0087,2015,100
Bulgaria,129,4.217,1.1131,0.9254,0.6781,0.2122,0.1279,0.0062,2016,100
Bulgaria,105,4.714,1.1615,1.4344,0.7082,0.2892,0.1132,0.0111,2017,100
Morocco,97,5.0948,8.9403,0.5926,65.8962,0.7721,-0.2404,0.8157,2020,504
Morocco,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019,504
Morocco,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2018,504
Morocco,92,5.013,0.7348,0.641,0.6095,0.4169,0.0717,0.0855,2015,504
Morocco,90,5.151,0.8406,0.386,0.5947,0.2565,0.0405,0.084,2016,504
Morocco,84,5.235,0.8781,0.7749,0.5977,0.4082,0.0322,0.0878,2017,504
Cameroon,98,5.0849,8.1186,0.7004,52.7049,0.7631,-0.0015,0.8513,2020,120
Cameroon,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019,120
Cameroon,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2018,120
Cameroon,133,4.252,0.4225,0.8877,0.234,0.4931,0.2062,0.0579,2015,120
Cameroon,114,4.513,0.525,0.6254,0.127,0.4274,0.2268,0.0613,2016,120
Cameroon,107,4.695,0.5643,0.946,0.1329,0.4304,0.2363,0.0513,2017,120
Venezuela,99,5.0532,8.9778,0.8904,66.5053,0.6233,-0.1691,0.837,2020,862
Venezuela,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019,862
Venezuela,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018,862
Venezuela,23,6.81,1.0442,1.256,0.7205,0.4291,0.0584,0.1107,2015,862
Venezuela,44,6.084,1.1337,1.033,0.619,0.1985,0.0425,0.083,2016,862
Venezuela,82,5.25,1.1284,1.4313,0.6171,0.154,0.065,0.0645,2017,862
Algeria,100,5.0051,9.538,0.8034,65.9052,0.4666,-0.1211,0.7355,2020,12
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,12
Algeria,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018,12
Algeria,68,5.605,0.9393,1.0777,0.6177,0.2858,0.0782,0.1738,2015,12
Algeria,38,6.355,1.0527,0.8331,0.618,0.2101,0.0704,0.1616,2016,12
Algeria,53,5.872,1.0919,1.1462,0.6176,0.2333,0.0694,0.1461,2017,12
Senegal,101,4.9808,8.119,0.7236,59.5992,0.6906,-0.0523,0.8088,2020,686
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,686
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2018,686
Senegal,142,3.904,0.365,0.9762,0.4354,0.3677,0.2084,0.1071,2015,686
Senegal,128,4.219,0.4431,0.7742,0.4046,0.3106,0.191,0.1168,2016,686
Senegal,115,4.535,0.4793,1.1797,0.4094,0.3779,0.1835,0.1155,2017,686
Guinea,102,4.9493,7.751,0.6376,54.4678,0.7068,0.0763,0.7618,2020,324
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019,324
Guinea,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018,324
Guinea,150,3.656,0.1742,0.4648,0.2401,0.3772,0.2866,0.1214,2015,324
Guinea,151,3.607,0.2242,0.3109,0.1883,0.3095,0.2991,0.1192,2016,324
Guinea,149,3.507,0.2445,0.7912,0.1941,0.3486,0.2648,0.1109,2017,324
Niger,103,4.9096,6.8422,0.6174,53.5001,0.7598,0.0139,0.7225,2020,562
Niger,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,562
Niger,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018,562
Niger,144,3.845,0.0694,0.7726,0.2971,0.4769,0.1939,0.1564,2015,562
Niger,142,3.856,0.1327,0.6053,0.2616,0.3804,0.2097,0.1718,2016,562
Niger,135,4.028,0.1619,0.993,0.2685,0.3637,0.2287,0.1386,2017,562
Laos,104,4.8886,8.7986,0.7375,58.7099,0.9072,0.1114,0.6347,2020,418
Laos,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019,418
Laos,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018,418
Laos,99,4.876,0.5907,0.738,0.5491,0.5959,0.4219,0.2425,2015,418
Laos,102,4.876,0.6804,0.5497,0.3829,0.5217,0.4308,0.2242,2016,418
Albania,105,4.8827,9.4179,0.6711,68.7081,0.782,-0.0423,0.8963,2020,8
Albania,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,8
Albania,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018,8
Albania,95,4.959,0.8787,0.8043,0.8132,0.3573,0.1427,0.0641,2015,8
Albania,109,4.655,0.9553,0.5016,0.7301,0.3187,0.1684,0.053,2016,8
Albania,109,4.644,0.9962,0.8037,0.7312,0.3815,0.2013,0.0399,2017,8
Cambodia,106,4.8484,8.2499,0.7731,61.53,0.9597,0.0519,0.8228,2020,116
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,116
Cambodia,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018,116
